collection_no	source_database	collection.authorizer	occurrence.genus_reso	occurrence.genus_name	occurrence.species_reso	occurrence.species_name	original.genus_reso	original.genus_name	original.species_reso	original.species_name	type_specimen	country	state	period	epoch	stage	ma_max	ma_min	formation
67876	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
67880	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
67881	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
67892	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Oldman
67893	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
67894	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
69213	ETE	"M. Carrano"	"n. gen."	Troodon	"n. sp."	formosus					"ANSP 9259"	"United States"	Montana	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Judith River"
70426	ETE	"M. Carrano"	"n. gen."	Urbacodon	"n. sp."	itemirensis					"ZIN PH 944/16"	Uzbekistan	Navoi	Cretaceous	"Late/Upper Cretaceous"	Cenomanian	99.700	94.300	Dzharakuduk
74664	ETE	"M. Carrano"	"n. gen."	Hesperornithoides	"n. sp."	miessleri					WYDICE-DML-001	"United States"	Wyoming	Jurassic	"Late/Upper Jurassic"		155.700	145.500	Morrison
75298	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.2	70.0	Ferris
75435	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.6	70.4	Ferris
75442	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Wyoming	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.6	70.0	Ferris
76030	Fossilworks	"J. Alroy"		Troodon		formosus					"ANSP 9259"	Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	"Dinosaur Park"
88975	ETE	"M. Carrano"		Troodon		formosus					"ANSP 9259"	"United States"	Alaska	Cretaceous	"Late/Upper Cretaceous"		84.900	66.043	"Prince Creek"
89604	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wapiti
89605	ETE	"M. Carrano"		Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Campanian	84.900	70.600	Wapiti
96455	ETE	"M. Carrano"	cf.	Troodon		sp.						Canada	Alberta	Cretaceous	"Late/Upper Cretaceous"	Maastrichtian	70.600	66.043	"Horseshoe Canyon"
97956	ETE	"M. Carrano"		Geminiraptor		suarezarum					"CEUM 7319"	"United States"	Utah	Cretaceous	"Early/Lower Cretaceous"	Barremian	130.000	125.450	"Cedar Mountain"
